id,timestamp,officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,CORPORATEIDENTIFICATIONNUMBER,DATEOFREGISTRATION,COMPANYNAME,COMPANYSTATUS,COMPANYCLASS,COMPANYCATEGORY,AUTHORIZEDCAPITAL,PAIDUPCAPITAL,REGISTEREDSTATE,REGISTRAROFCOMPANIES,PRINCIPALBUSINESSACTIVITY,REGISTEREDOFFICEADDRESS,SUBCATEGORY
1,2015-12-23 12:33:51,Achalapur B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O,BARB,05-01-1955,BANK OF BARODA,ACTIVE,Public,Company limited by Shares,"30,00,00,00,000.00",NA,Maharashtra,RoC-Mumbai,NA,"Baroda Corporate Centre C-26, G-Block, Bandra-Kurla Complex Bandra(East) Mumbai Maharashtra INDIA",Indian Non-Government Company
2,2015-12-23 12:33:51,Ada B.O,504293,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Asifabad S.O,Mancherial H.O,BKDN,05-01-1955,DENA BANK,ACTIVE,Public,Company limited by Shares,"30,00,00,00,000.00",NA,Maharashtra,RoC-Mumbai,NA,Dena Corporate Centre C-10 G Block Bandra Kurla Complex Bandra East Mumbai Maharashtra INDIA,Indian Non-Government Company
3,2015-12-23 12:33:51,Adegaon B.O,504307,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Echoda S.O,Adilabad H.O,BKID,05-01-1955,BANK OF INDIA,ACTIVE,Public,Company limited by Shares,"30,00,00,00,000.00",NA,Maharashtra,RoC-Mumbai,NA,"Head Office Star House, C-5, G Block Bandra Kurla Complex Mumbai Maharashtra INDIA 400051",Indian Non-Government Company
4,2015-12-23 12:33:51,Adilabad Collectorate S.O,504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-226703,NA,Adilabad H.O,CBIN,05-01-1955,CENTRAL BANK OF INDIA,ACTIVE,Public,Company limited by Shares,"30,00,00,00,000.00",NA,Maharashtra,RoC-Mumbai,NA,Central Office Chander Mukhi Nariman Point Mumbai Maharashtra INDIA,Indian Non-Government Company
5,2015-12-23 12:33:51,Adilabad H.O,504001,H.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-226738,NA,NA,L00000MH1946PLC197474,02-08-1946,QUADRANT TELEVENTURES LIMITED,ACTIVE,Public,Company limited by Shares,"15,00,00,00,000.00","2,86,07,14,568.00",Maharashtra,RoC-Mumbai,NA,AUTOCARS COMPOUND ADALAT ROAD AURANGABAD Maharashtra INDIA 431005,Indian Non-Government Company
6,2015-12-23 12:33:51,Agm Colony S.O,504251,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Bellampalle,Adilabad,TELANGANA,08735-222138,NA,Mancherial H.O,L01100MH1992PLC068417,04-09-1992,MARDIA FARMS LIMITED,STRIKE OFF,Public,Company limited by Shares,"50,00,000.00","16,000.00",Maharashtra,RoC-Mumbai,Agriculture and Allied Activities,MARDIA HOUSE96 C P TANK ROAD MUMBAI Maharashtra INDIA 400004,Indian Non-Government Company
7,2015-12-23 12:33:51,Ainam B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O,L01100MH1995PLC092424,06-09-1995,EURO AGRO (INDIA) LIMITED,STRIKE OFF,Public,Company limited by Shares,"2,00,00,000.00","71,65,000.00",Maharashtra,RoC-Mumbai,Agriculture and Allied Activities,RAM BAUG MOTI FARMSUNDANI ROAD VILLAGE FAGNE DHULE Maharashtra INDIA 424301,Indian Non-Government Company
8,2015-12-23 12:33:51,Aknepalli B.O,504251,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Bellampalli S.O,Mancherial H.O,L01100MH1996PLC098836,12-04-1996,KACHCHH PLANTATIONS LIMITED,STRIKE OFF,Public,Company limited by Shares,"1,00,000.00",700,Maharashtra,RoC-Mumbai,Agriculture and Allied Activities,"41, SWETA APARTMENTS, DEVIDAS LANE, BORIVALI (WEST), MUMBAI Maharashtra INDIA 400103",Indian Non-Government Company
9,2015-12-23 12:33:51,Akoli B.O,504309,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gumma S.O (Adilabad),Adilabad H.O,L01100MH1996PLC100380,20-06-1996,USHER AGRO LIMITED,ACTIVE,Public,Company limited by Shares,"50,00,00,000.00","38,05,90,390.00",Maharashtra,RoC-Mumbai,Agriculture and Allied Activities,"422,Laxmi Plaza ,Laxmi industrial estate, New link Road Andheri(W) Mumbai Maharashtra INDIA 400053",Indian Non-Government Company
10,2015-12-23 12:33:51,Alegaon B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O,L01100MH1998PLC117343,04-12-1998,NOHA MARKETING (INDIA) LIMITED,DORMANT,Public,Company limited by Shares,"10,00,000.00",NA,Maharashtra,RoC-Mumbai,Agriculture and Allied Activities,"JAI BAJRANG HSG. SOCIETY, PARK SITE VIKHROLI, POWAI ROAD VIKHROLI (WEST), MUMBAI Maharashtra INDIA 400079",Indian Non-Government Company
